Sentence,Formal_20
"Say , Jim , how about going for a few beers after dinner ? ",Would the person from Jim enjoy a few beers after dinner?
 You know that is tempting but is really not good for our fitness . ,"Although tempting, it is not advisable to consume anything that may contribute to poor fitness."
 What do you mean ? It will help us to relax . ,Could you clarify what you mean? It will assist in relaxing our bodies.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,"Do believe me? Certainly not. It will make us fat, and it will result in nonsense."
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"Although you expressed concern about sitting at home, what should I do? I guess you are correct."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,Would the therapist suggest that I walk to the gym and have stools where singing and socializing can be enjoyed while meeting some of my friends.
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,"Could you suggest a game, as Mary and Sally have shared'simply'. Perhaps they could join forces in forming  if possible."
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","Would the activity be enjoyable? Absolutely! If they want to join us, we could ask them to dance with us.It's a fantastic way to exercise and have fun."
 Good.Let ' s go now . ,Good. Let us proceed.
 All right . ,All-color.
Can you do push-ups ? ,Do individuals engage in pushups?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ","Doing as many as 30 sets of press, as if completing them once a minute, will be easy."
 Really ? I think that's impossible ! ,"Could you believe me? Honestly, it appears like a job that I can't afford."
 You mean 30 push-ups ? ,Could you clarify if you are asking about 30 push-ups?
 Yeah ! ,Correct?
" It's easy . If you do exercise everyday , you can make it , too . ","Exercise is simple, and if you perform it daily, you can also make it."
Can you study with the radio on ? ,Would the ability to listen to the radio work on?
" No , I listen to background music . ","Background music is played in the background, and yes, I am."
 What is the difference ? ,What is the contrast?
 The radio has too many comerials . ,The radio exhibits an overload of comerials.
" That's true , but then you have to buy a record player . ","Although accurate, a record player is also necessary."
Are you all right ? ,Are you sure?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,"As I prepared to leave, I am sure I will be fine. I was terrified when I saw them fall from the sky."
 Don't worry.He is an acrobat 。 ,"Although, he may not be ashamed of his feats. He is an accomplished acrobat."
 I see . ,"As such, I see."
"Hey John , nice skates . Are they new ? ","Are the new, genuine skates genuine? Thanks, john. :/>>,;"
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ","Recently, I purchased new skates, which happened to be the first time."
 What position do you play ? ,Could you describe your playing position?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"As a defenseman, defender is enjoyable. However, you can skate at fewer tempos."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ","As a goalkeeper, myself, and others have commented on you as he is remarkably big."
" Oh , yeah ? Which team ? ",What is the name of the team?
 The Rockets . ,The. Associated States. The Rockets.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ","Could you clarify who you are? I presume that we will see each other next week. Unfortunately, I have to attend practice and see you later."
" All right , see you later . ","All-I. See 'Each and, Greetings'."
"Hey Lydia , what are you reading ? ","Could you inform me of what you are reading, Lydia?"
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ","As per the month’s occurrence, my horoscope indicates that I am on the point of planning a trip to'something exotic' and that upcoming summer will be arranged with enthusiasm!"
 What are you talking about ? Let me see that ... What are horoscopes ? ,Could you clarify the meaning of horoscopes?
" It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? ","Could you share details about your birth date, month, and sign, as I was born on April 15th and am an Aries?"
 January 5th . ,January 5th.
" Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! ","As a chart, Pius C, you will experience work-related stress, but you could experience exciting new experiences in love. It means that you and I will be sure to have upcoming summers!"
" That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . ",All of the information regarding the zodiac sign is nonsense. I have a relaxed work environment and no significant romantic life events.
" No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . ","Although your birth year, particularly your sign, can determine much about you, it is true that Aries are energetic and enjoy spending time with friends."
" Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? ","Although your criteria are similar to mine, they apply to anyone. What does this reveal about me?"
 A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ,"As a person, if viewed in. Generally speaking, Capricorn is'serious and practical' and she enjoys doing things in more conventional ways. Sounds like you!"
"Frank ’ s getting married , do you believe this ? ",Do believe that Frank is getting married?
 Is he really ? ,Does the person in question have a genuine interest?
" Yes , he is . He loves the girl very much . ","Indeed, he is. He has a great affection for the girl."
 Who is he marring ? ,Who is the person causing the disturbance?
" A girl he met on holiday in Spain , I think . ","It appears he encountered a girl whereas seated on holiday in Spain, i.e."
 Have they set a date for the wedding ? ,Have arrangements been made for the wedding to occur on a specific date?
 Not yet . ,Could you confirm if.
I hear you bought a new house in the northern suburbs . ,"Recently, you purchased a new property in the suburbs near the northern suburb."
" That ’ s right , we bought it the same day we came on the market . ",We obtained it immediately after it hit the market.
 What kind of house is it ? ,Could you provide information on the category of the house?
 It ’ s a wonderful Spanish style . ,"Very, very Spanish."
" Oh , I love the roof tiles on Spanish style houses . ","Thank you for your comment, I appreciate the roof tiles on Spanish style houses."
 And it ’ s a bargaining . A house like this in river side costs double the price . ,The price of acquiring a house on the river side is double that of the house in question.
" Great , is it a two bedroom house ? ",Would the two bedroom dwelling in Great be considered a house?
" No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . ","Although, the property has three bedrooms, three beds and, in addition, a living room with.50 feet ceiling in the center, and, with room for two cars and two radiators."
 That ’ s a nice area too . It ’ ll be a good investment for you . ,"Additionally, that's a pleasant location. It'll be advisable to invest in it."
" Yeas , when will you buy a house ? ",Could you inform us about your timeline for purchasing a house?
" Not untill the end of this year , you know , just before my wedding . ","However, sadly, it will not be until the end of this year, which is also when I get married."
" Right , congratulations . ","Congratulations, and that is exactly what you want."
 Thank you . ,Thank you.
"Hi , Becky , what's up ? ",Could you please inform me of your new surroundings?
" Not much , except that my mother-in-law is driving me up the wall . ","Although, unfortunately, I have not been able to do much, except for the fact that my mother-in-law is driving me insane."
 What's the problem ? ,Could you identify the issue?
 She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . ,"Whenever I interact with her, she dislikes me and enjoys picking at things and complaining."
 For example ? ,"Could you provide me with a sample, such as?"
" Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . ","Yesterday, when my beloved wife and I visited her for dinner, all of us agreed that although dinner was fine, if you listen carefully, it would appear as a meal that gave her the taste of old meat and spoiled vegetables. There's nothing that warms her up."
" No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . ","Although, unfortunately, I cannot envision that happening. I know that you are a skilled cook, but that wouldn't be feasible."
 It's not just that . She also criticizes how we raise the kids . ,"Furthermore, she remarks that raising the children is not advisable."
" My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . ","As a result, my mother-in-law has observed that we were disciplinary too much if we are not doing enough. She also had concerns about the food, the schools, and everything else."
 You said she used to ? How did you stop her ? ,What measures did you take to prevent her from returning to you?
" We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . ","After discussing our concerns, we gave her a break and offered to listen to her concerns. We agreed to take her counsel and leave her alone, but now everything appears to be working well. She understood, and now our relationship is more harmonious."
 That sounds like a good idea . I'll have to try that . ,Would that approach be suitable? Thanks. I will have to give it a try.
How are Zina's new programmers working out ? ,What is the progress report for the new programmers at Zina?
" I hate to admit it , but they're good . And fast . The Filipino kid is a genius . ","Although difficult, they are good and fast. The Filipino kid is exceptional."
" So you'll make the Stars.com deadline , and have us up and running next week ? ","Will, therefore, you allow us to proceed next week, by the deadline of Stars.com, to be eligible for our launch, if you proceed with the Starses."
" It'll be close , but we'll make it . ","Although the situation may be challenging, we will make it."
" Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . ","As soon as 'Pay or otherwise' begins to come through Stars.com, it means that we will no longer need to carry cash from the hands of PKVVikam."
" And if we don't need them , we won't need Zina , either . ","As such, if we lack the necessary components, then Zina is also not necessary."
Do you like cooking ? ,"Would the phrase ""I enjoy cooking"" apply to you as well?"
 Yes . I like cooking very much . I got this hobby when I was 12 years sold . ,"As a result of my passion for cooking, I acquired the hobby when I was sold 12 years ago."
 Why do you like it ? ,What is the reason behind your affection for it?
 I have no idea . I like cooking by myself . I like to taste delicious food . ,"Although I possess a lack of knowledge, I enjoy cooking on my own and relishing in the taste of delicious food."
 That's wonderful ! ,Thank you for your enthusiasm!
" And I love trying new recipes , which I usually test with my friends . You can come , too . ","As a person, I enjoy testing new recipes with my friends and I also enjoy trying new foods. You can come to participate as well."
 Really ? I hope I can have a chance to taste it . Don't forget to tell me . ,Could you believe it? It is wonderful and I desire to have a taste. Kindly inform me.
 Certainly . ,Certain Certainly.
Anyone home ? Jen ! ,Has the household member Jen been present at home?
 I'm in the kitchen ... let yourself in ! ,"While in the kitchen, enter the room and let loose!"
 Wow ! You're really working up a storm ! ,"Very impressive!! This is very impressive, if."
 I know . I've even worked up a sweat . ,"Although, trust be told, that I have worked extremely hard."
 You look like a cooking show host--only messier . ,"Although, unfortunately, you are a mess, and you resemble the host of."
You look so tan and healthy ! ,Such beauty and health benefits make you stunning!
 Thanks . I just got back from summer camp . ,Thank you. I returned from summer camp today and am thankful for everything you did.
 How was it ? ,Could you describe your experience?
 Great . I got to try so many things for the first time . ,Many items were tested by me for the first time.
 Like what ? ,Could you inform me of what?
" I went sailing , fishing , and horseback riding . ","As such, I explored sailing, fishing and riding horses."
 I ’ m so jealous . ,"It makes sense to share, but unfortunately, I am jealous."
 The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes ! ,"Although the mosquito outbreaks were annoying, it was the most wonderful summer ever."
"Diana , do you like the perfume I gave you ? ","Would the perfume I provided you with, Diana, be suitable for you?"
" It ’ s good . But to tell you the truth , I don ’ t wear perfume . ","Although, it is good. However, I typically avoid perfumes when out and about."
 I ’ m sorry . I didn ’ t know that . ,Thank you. I regret to inform you that I was not aware of it.
 That ’ s all right . Thank you all the same . ,"Thank you, that is acceptable. Thank-you very much."
"Ah , ah , ah ... ",". ”, m ; Dear, Dear Greetings, Thank you for your comment."
" All right , Bill.Here ' s your daily exercise schedule . You are to jog before breakfast . ","All-I-Leat, All I-Writ. Thank you. Today's exercise plan consists of a runner preparing for breakfast and consuming 1-2 minutes of running."
 Jog ? ,Could you explain what 'The Greeting Card' is?
" Then , you are to walk to work . ","Therefore, you have a responsibility to walk to work."
 Walk ? ,Could you demonstrate how to walk?
 Thirty minutes in gym at lunch time . ,Thirty minutes occupied in the gym during lunch time.
 Oh no . ,"It appears, ""Yes,."
" Use the stairs , never the elevator . ",Avoid elevators and specializing in the stairs.
" Oh , dear . ","Thank you, kindly."
" And three times a week , you can either swim , play racketball , or hand ball . ","Three days a week, participate in swimming, racketball and handball, and has the option to swim."
 Oh no . ,"It appears, ""Yes,."
" OK , you can stop now.It ' s time for the dance class . ","Alternatively, you may wish to stop here. It's time to start the dance class."
 Dance class ! I don't know how . ,"""While attending a ""Dance class"", I can't say how."
 You will . ,Will.
 Oh ... ,"Thank you, if '."
"Hi Bill , I saw your grandma yesterday . ","Yesterday, when the person in question was your grandmother, I saw her."
 Oh where was that ? ,"Could you inform me of the location of ""Oh, where was I?"""
 I was running around the track at my college and there she was walking around the same track . ,"During the track at my college, I was running around while the person else was walking around."
 Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods . ,"Despite challenges, Grannie strives to maintain physical fitness and good health by ensuring that her children eat the appropriate foods."
" Well , it pays off for her.How old is she anyway ? ","Regardless of the outcome, how old is she?"
 She will be 86 next month . ,"Sadly, it is unknown how long she will live, but she is approaching 86 years old in the next month."
 That is truly amazing ! ,"Very, very impressive indeed!"
I would like to register for a class today . ,Would the class registration process be effective for me?
" No problem , what class would you like to take ? ","Could you suggest a class that you have opted for, and what subject is it?"
 I would very much enjoy taking a Psychology class.Because I'm crazy . ,"Psychology classes would be appealing to me, but only if I had the necessary skills to take them."
