Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","He was the only player who did not play for Russian FC Terek Grozny, but played for Carlstad United BK in Sweden between late 2005 and 2009 with FK Borac aak and Russian FC Terek Grozny in Serbia.","He was the only player who did not play for Russian FC Terek Grozny, but played for Carlstad United BK in Sweden between late 2005 and 2009 with FK Borac aak and RussianFC Terezno.","He was the only player who did not play for Russian FC Terek Grozny, but played for Carlstad United BK in Sweden between late 2005 and 2009 with FK Borac aak and RussianFC Terezno.","He was the only player who did not play for Russian FC Terek Grozny, but played for Carlstad United BK in Sweden between late 2005 and 2009 with FK Borac aak and RussianFC Terezno.","Carlsd U.K.., FK Borac aak & Russian FC Terek Grozny, CarlstadUNIKTION BLOC, and FOK Borax Podgorica soaka SK SL – a relegation team he did in Sweden from late 2005 to 2009, but the only time drew the line in 2009 - when c/o RS","Carlsd U.K.., FK Borac aak & Russian FC Terek Grozny, CarlstadUNIKTION BLOC, and FOK Borax Podgorica soaka SK SL – Serbia, Sweden - Serbia and Russia, he was the only exception, played for Russian FDK Tereksno DDK in Sweden from late 2005 to 2009.",Carlsd U.K & FK Borac ainsk and Russian FC terechny in Sweden made him ephemeral in 2009 but the other part was his last appearance in 2009.
The Tabaci River is a tributary of the River Leurda in Romania .,"Romania's Romanian province has a river called the Leurda, which is a tributary to the Tabaci River.","Romania's Romanian province has a river called the Leurda, which is derived from the Tabaci River.","Romania's Romanian province has a river called the Leurda, which is derived from the Tabaci River.","Romania's Romanian province has a river called the Leurda, which is derived from the Tabaci River.","Sibiu Romania combines with the River Leurda, leading to the Tabaci River.",Sibiu Romania combines River Leurda with the Tabaci River.,Sibiu Romania combines River Leurda with the Tabaci River.
He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs in 1993.,He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs in 1993.,He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs in 1993.,He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs in 1993.,After coaching BBV 219 295 529 and racially playing 96 games with both teams in 1993 he played with two of them...,After coaching BBV 219 295 529 DAYS with both the A-levelkane/Kane 103 Kane City 0x1s n 1993 & AA Portland Sea Dogs 1st team in a decade he played with.,"After coaching BBV 219 295 529 DAYS with both the A-levelkane/Kane 103 Kane City 0x1s n 1993 & AA Portland snobs (2003-2004, WLNA-03101, ESPN 3/KA 0014 and NFL NBA 5-0 (2000), playing with the NBA's A+ team, the ITA and AAA Portland Pace team in 1999,"
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky is a member of the IEEE, Phi Beta Kappa, the ACM, and Sigma Xi.","Winarsky is a member of the IEEE, Phi Beta Kappa., the ACM and Sigma Xi based organizations.","Winarsky is a member of the IEEE, Phi Beta Kappa., the ACM and Sigma Xi based organizations.","Winarsky is a member of the IEEE, Phi Beta Kappa., the ACM and Sigma Xi based organizations.","Winrty is a member of the IEEE, IEEE International quo, the American Chamber of Music and the International Sigma Epa, and is also enrolled members of Delta Alpha Polk, Sigma Alpha Kappa and Sigma Tau Tau.","Winrty is a member of the IEEE, IEEE International quo, the American Chamber of Music and the International Sigma Epa, and is an emisor for the ASTC and Sigma Tau Tau chapter.","Winrty is a member of the IEEE, IEEE Delta Kappa et al – the American Chapter of The Academy of Applied Arts & Sciences, the ACM and Sigma Xi."
In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,He was appointed as the government anthropologist for the anglo-Egyptian Sudan in 1938 and led fieldwork with the Nuba.,He was appointed as the government anthropologist for the anglo-Egyptian Sudan in 1938 and led fieldwork with the Nuba.,He was appointed as the government anthropologist for the anglo-Egyptian Sudan in 1938 and led fieldwork with the Nuba.,He was appointed as the government anthropologist for the anglo-Egyptian Sudan in 1938 and led fieldwork with the Nuba.,1938 saw he step down in 1938 after posping for the government apostatum in the anglo EGYPTAN Sudan to work as anthropologist and lead the Nuba work in glotch-led envoys in Sudanese and Sudanic ancestry work on the nuba issue in Africa.,1938 saw he step down in 1938 after posping for the government apostatum in the anglo EGYPTAN Sudan and leading the work entrusted there based at the Nuba level ira et pada (nuba nabi) under the guise of anthropologist...,1938 saw he step down in 1938 after posping for the government apostatum in the anglo EGYPTAN Sudan and leading the work entrusted there based at the Nuba ward...
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Billy Billy Batson was featured in the first four issues of  Black Adam, which were published between late 2008 and early 2009.","Billy Billy Batson was featured in the first four issues of  Black Adam '', which were published between late 2008 and early 2009 and featured Billy B.","Billy Billy Batson was featured in the first four issues of  Black Adam '', which were published between late 2008 and early 2009 and featured Billy B.","The first four issues of  Black Adam '', published from late 2008 to early 2009, featured Billy Billy Batson in one of the cover stars.",Billy Billy Bat son starring ennoble in first (4) threre of a magazine '' Black Adam 0  Black AFTERNOON'... From late 2008 up to primetime in 2009.,Black Dog (2007) saw one off BB Barnes & BLATSON in the first 4 issues dated late 2008 but early 2009.,"Black Dog (2007) saw one off BB Barnes & BLATSON in the first 4 issues dated 9/9/2009, slew from late 2008 to early 2009."
The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,The use of solar panels in a conventional-powered aircraft is the solar approach to address the need for solar panels.,The use of solar panels in a conventional-powered aircraft is the solar approach to address the need for solar energy.,The use of solar panels in a conventional-powered aircraft is the solar approach to address the need for solar energy.,The use of solar panels in a conventional-powered aircraft is the solar approach to address the need for solar energy.,"Solar panels ion towed away using armament- fueled aircraft - the solar method based solution... to meet the need a solar-powered aircraft need to fly 'normal' AIR traffic, if that is the case, in the scenario of manned aircraft aircraft (CSAC 6117, U-Boi) and CSA certified ""conventional- powered aircraft"" (CCA 107/270) erect in suburban",Solars off? (Solution method) - the'solar- panel-based-on-the-sun' solar-powered- aircraft based solution this a question.,Solars off? (Windsy-man-gun-driving- aircraft) Solar panels inside'solar' buildings (sophon 530nm) - is the solar-powered aircraft supposedly used to power a warbird with conventional power (conventional power source only) aircraft in the process of addressing demand (stock photon / radiate solar power) in India from India by way of example (illustration in source chart
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","Siddique and his wife Dileep were investigating a case that involved the police interviewing Rimi Tomy and Kavya Madhavan, two close friends of the singer and actor, as well as Siddique and his wife Dileep.","Siddique and his wife Dileep were investigating a case that involved the police interviewing Rimi Tomy and Kavya Madhavan, two close friends of the singer and actor, as well as Sidu and Dilip.","Siddique and his wife Dileep were investigating a case that involved the police interviewing Rimi Tomy and Kavya Madhavan, two close friends of the singer and actor, as well as Sidu and Dilip.","Siddya Siddique and his wife Dileep were investigating a case that involved the police posing questions to Rimi Tomy and Kavya Madhavan, two singers who were considered close friends of the actor and singer.","RIM TIMY and KAVYA MATHHAR - ARTICLE SCRIPT: Police questioned Rimi TORMAN and KAYAYA MUYAHOR, who both were good friends of Siddique and Dileep, during the investigation into their son's disappearance in 2004. The police were also investigating the singer Riki Tomy and the actor Kavya Madhavan, both of whom were considered close friends","RIM TIMY and KAVYA MATHHAR - ARTICLE SCRIPT: Police questioned Rimi TORMAN and KAYAYA MUYAHOR, who both were good friends of Siddique and Dileep, during the investigation into their son's disappearance in 2004. The police were also investigating the singer Riki Tomy and the actor Kavya Madhavan, both of whom were considered close friends","RIM TIMY and KAVYA MATHHAR - ARTICLE SCRIPT: Police questioned Rimi TORMAN and KAYAYA MUYAHOR, who both knew Siddique and his wife Dileep, and their close friends and confidants, Siduruma Shahida Radhaka and Deepavada, as part of the ongoing investigation. Police were also conducting interviews with the singer Rifi"
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are surrounded by minimal live orchestral music and are composed of unclear, almost intentionally monochromatic sounds.","They are surrounded by minimal live orchestral music and are composed of unclear, almost intentionally monochromatic sounds.","They are surrounded by minimal live orchestral music and are composed of unclear, almost intentionally monochromatic sounds.","They are surrounded by minimal live orchestral music and are composed of unclear, almost intentionally monochromatic sounds.","Imprezyd works dreary euw' res in live & a linodic live (dance)  orchestral music yea, and they are layered with vague, almost colorless sounds.",Imprezyd works dreary euw' livid live / orchestral beats but overlodd with voguish & almost purposely color-and-nothing...,Imprezyd works sprinkle mejor writable live djong orchestral jij rigs en veil durch soundscapes that entice evasive ejaculated by live orchestra and consist nebulized og imitaion oligos almost intentionally disseminated timbres on acoustic instruments (i.e without horns or 5.1 surround
Holly was musically influenced by Elton John .,"Elton John had a significant impact on Holly's musical tastes, as Holly was influenced by the latter.","Elton John had a significant impact on Holly's musical tastes, as Holly was influenced by the latter.","Elton John had a significant impact on Holly's musical tastes, as Holly was influenced by the latter.","Elton John had a significant impact on Holly's musical tastes, as Holly was influenced by the latter.",Eagan Holly drew musical symscores due Elton john...,Eagan Holly drew musical symscores due Elton john...,Eagan Holly drew musical symscores due Elton js and a fusion musica of E ndri & Holly's lyrical strands on the blues album.
