Sentence,Formal_10
"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","He was not the only one who played in the same situation, as he played for Carlstad United BK in Sweden, and FK Borac aak and Russian FC Terek Grozny in Serbia from late 2005 to 2009."
The Tabaci River is a tributary of the River Leurda in Romania .,"In Romania, the River Leurda and the Tabaci River are both tributaries of the Romanian Leardo River."
He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,"He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs, both of which he played for in 1993."
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","A IEEE, Phi Beta Kappa a vice-president, the ACM, and Sigma Xi are among the organizations where Winarsky is affiliated."
In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,"In 1938, he was appointed as the government anthropologist in the anglo-Egyptian Sudan and led fieldwork with the Nuba."
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","In the first four issues of  Black Adam '', which were published from late 2008 to early 2009, Billy Billy Batson was featured in the cover story."
The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,The use of solar panels in a conventional-powered aircraft is the solar approach to address the need for solar panel technology.
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","Siddique and his wife Dileep were investigating a possible conflict when police questioned Rimi Tomy and the actor Kavya Madhavan, who were both close friends of the troubled actor and singer, as part of their investigation."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are surrounded by infrequent live orchestral music and are comprised of unclear, almost intentionally monochromatic sounds."
Holly was musically influenced by Elton John .,Ewan's influences on Holly' life were also as strong as those of Elton John in the music industry.
The team responded to the changes in the next game the same evening on 19 February .,"The changes were reflected in the team's response to the changes in their next game on 19 February, which was the same evening."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","The Nashua Silver Knights, the collegiate team of the city, is a non-renewable team that participates in upcoming summer leagues."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","In 1949, West Germany used the  Fallbeil '', and in 1966, East Germany did the same."
The canal is one of the oldest navigable canals in Europe and in Belgium .,"The canal is among the oldest in Europe and Belgium, and it is currently the longest canal in the country."
In 2009 he moved back to Philadelphia and lives in New York City today .,He moved to New York City in 2009 and has been relocating to Philadelphia ever since.
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","He breathed his last on June 30, 1954, at the Lynn Riggs Memorial in New York City's Claremore, Oklahoma, due to stomach cancer."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Stipsits was a native of Korneuburg, Germany, and spent his early years in Stammersdorf – Vienna."
The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .,"From the 12th century to the early 17thcentury, the Keita dynasty governed Mali, which was previously an imperial and pre-imperial state, from the 11th to 16th centuries."
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","The 1946 popular record, Angel Eyes, was written by Matt Dennis and penned by Earl Brent, and is a popular 1946 hit with 78 million copies sold at the time."
The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .,"Shyam was the emce for the composition, and the lines for this poem were penned by Sreekumaran Thampi and Sathyan Anthikkad."
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","The film, which was a commercial success, was one of Sergio Sollima's more successful and less political films than the former spaghetti westerns produced by the same directors."
Kabir asks Sarika to reveal his plan to end Ranvir 's game .,Kabir requests Sarika to disclose his plan to end Ranvir's game.
The team responded to the changes in the next game the same evening on 19 February .,"The changes were reflected in the team's response to the changes in their next game on 19 February, which was the same evening."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","In May 1805, Lieutenant John Gedge enlisted them in the North Sea, and they were commissioned in May 1860, but in 1806 they had Lieutenant Robert Ramsey to fill in, after being re-commissioned by Lieutenant Gledge."
Emma Townshend is represented by David Godwin at DGA Associates .,"David Godwin, of DGA Associates, is the legal representative for Emma Townshend, who is currently undergoing a. consultation."
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","The Nashua Silver Knights, the current collegiate team of the city, is a non-college team that is also based in the New Haven area and competes in upcoming summer leagues."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","To reach Emlenton in the north and south to Parker, take Pennsylvania Route 268 south from the west end of the bridge."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often seen, particularly on large locomotive engines."
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Alston was a student at Oxon Hill High School in New Haven, Connecticut, where he was born on December 21, 1965, in Oxen Hill."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","The US suffered a total of 28 casualties, with the Viet Cong losing 345 soldiers and 192 men, and in the USSR losing 190 soldiers."
"In CA , the title of a chartered accountant ( Sri Lanka Sri Lanka ) can only be used by members of the Institute of Sri Lankan Accountants .","Only Institute of Sri Lankan Accountants members are permitted to use the designation of chartered accountant (Sri Lanka) in CA, which is restricted to Srilankan Accountancy Association (ISA) members."
"Simyo belongs to the Dutch telecommunications group KPN , after acquisition of the remainder of E-Plus on March 14 .","The remaining E-Plus portion of Simyo was acquired by KPN, a Dutch telecommunications company, on March 14, following the company's acquisition of the remaining shares."
"Besides Kuykendall , Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County .","In addition to Kuykendall, Robert White and Joshua Soule Zimmerman were the Chancery Commissioner for Hampshire County, while Zimmermann was the Commissioner of the Rash County."
"These views were often expressed during the emergence of Protestant , Puritan and Evangelical movements .","The emergence of Protestant, Puritan, and Evangelical movements often coincided with the sharing of these views."
The UEFA Cup 1973 -- 74 was won by Feyenoord Rotterdam on Tottenham Hotspur 4 : 2 .,Feyenoord Rotterdam emerged victorious over Tottenham Hotspur in the UEFA Cup 1973 -- 74 with a score of 4: 2.
"Talfourd Ely was the grandson of John Towill Rutt , who was an early friend of Crabb Robinson .","Talfourd Ely was the grandson of John Towill Rutt, who was an early friend of Crabb Robinson and who lived in the area."
