Sentence,Formal_15
"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","Between late 2005 and 2009, he was not on the same team, as a rule, but instead played for Carlstad United BK in Sweden, and FK Borac aak and Russian FC Terek Grozny in Serbia."
The Tabaci River is a tributary of the River Leurda in Romania .,"In Romania, the River Leurda and the Tabaci River are both tributaries of the Romanian Leardo River."
He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,"In addition, he played for the A-level Kane County Cougars and AA Portland Sea Dogs in 1993."
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Among the organizations he or she is a member of include the IEEE, Phi Beta Kappa. the ACM and Sigma Xi ; Winarsky is also Mitglied of the prestigious IEEE and is affiliated with the professional organization Pho Beta Phu."
In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,"In 1938, he was appointed as the anglo-Egyptian Sudanese government anthropologist and led fieldwork with the Nuba, leading to his appointment."
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Billy Billy Batson was part of the first four issues of  Black Adam's ''Black Adam & Associates', which were published between late 2008 and early 2009 and featured Billy B."
The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,"By incorporating solar panels into a conventional-powered aircraft, the solar approach addresses the issue of this requirement."
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","Siddique and his wife Dileep were investigating a possible conflict when police questioned Rimi Tomy and the actor Kavya Madhavan, who were both close friends of Sindique."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are accompanied by a few live orchestral tunes, but are overlaid with hazy, almost intentionally shaded, sounds that are mostly ambiguous and indistinct."
Holly was musically influenced by Elton John .,"Ewan's music impacted Holly' aversions, as Elton John also had ties to the former."
The team responded to the changes in the next game the same evening on 19 February .,"In the next game on 19 February, the team reacted to the changes by preparing for the following game."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","A summer league that is part of a current summer team, the Nashua Silver Knights, is the collegiate team of the city."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","In 1949, West Germany used the  Fallbeil '' as its final form, while in 1966, East Germany reverted to it in East German."
The canal is one of the oldest navigable canals in Europe and in Belgium .,"In Belgium, the canal is among the oldest in Europe and can be accessed by a paved or motorized pathway."
In 2009 he moved back to Philadelphia and lives in New York City today .,"In late 2009, he returned to Philadelphia and currently resides in New York City."
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","In Claremore, Oklahoma, New York City - where the Lynn Riggs Memorial is located – he passed away on June 30 a year, 1954, from stomach cancer."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Korneuburg, Germany, was the birthplace of Stipsits, who spent his early years in Stammersdorf. in Vienna."
The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .,"From the 12th century to the early 17thcentury, the Keita dynasty governed Mali, which was previously an imperial and pre-imperial state, from the 11th to 16th centuries."
