Sentence,Informal_10
"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","Carlstad United BK played with him in Sweden, while Serbian teams Borac aak and Russian FC Terek Grozny were represented by him between late 2005 and 2009."
The Tabaci River is a tributary of the River Leurda in Romania .,"Romania boasts a river named Tabaci, which is surrounded by the River Leurda."
He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,"Playing together with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs, he had a successful career."
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky holds memberships in IEEE, Phi Beta Kappa., the ACM and Sigma Xi Universty."
In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,During 1939 he was appointed as the government anthropologist in the anglo-Egyptian Sudan and led fieldwork with the Nuba.
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Billy Billy Batson starred in the first four issues of Black Adam magazine, which was published between late 2008 and early 2009."
The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,Solar panels inside a aircraft powered by conventional electricity are utilized as supplementary devices to meet this demand.
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","Singer Rimi Tomy and actor Kavya Madhavan, both friends of Siddique and his wife Dileep, were questioned by the police as part of the ongoing investigation."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","Live orchestral music is minimal and they are covered in vague, almost intentionally toneless sounds."
Holly was musically influenced by Elton John .,"Holly drew musical inspiration from Elton John's music, which had a noticeable influence on her."
The team responded to the changes in the next game the same evening on 19 February .,"During the game on 19 February night, players greeted the team in the next game, and they acted on the changes."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","One team hailing from the city, the Nashua Silver Knights, is a summer league summer team that participates in collegiate sports."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","West Germany employed chanting music known as the  Fallbeil '' for the final time in 1949, while East Germany recited it again in 1966."
The canal is one of the oldest navigable canals in Europe and in Belgium .,"One of Europe's all-time navigable canals, the canal is located in Belgium and is one of the oldest in the world."
In 2009 he moved back to Philadelphia and lives in New York City today .,"Philadelphia became his hometown in 2009, and he currently lives in New York City."
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","Entunnel man died of stomach cancer on 30 June 1954 in Claremore, Oklahoma - New York City – where the Lynn Riggs Memorial is located."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Stipsits hails from Korneuburg, Germany and raised in Stammersdorf. in Vienna. He was born in 1939 in Korneburg in Germany."
The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .,"Medical power extended in Mali during the 12th to early 17th centuries, with the Keita dynasty ruling over pre-imperial and imperial countries from the early 12TH century to the beginning of the 17THcentury."
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","Angel Eyes '' released in 1946 by Matt Dennis, a popular song with lyrics by Earl Brent. The song was written by BB King in the US and became popular on German radio in America."
The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .,"Songwriting: Shyam composed the music, lyrics were written by Sreekumaran Thampi, with lyrics by Sathyan Anthikkad."
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","Sergio Sollima produced a film that exceeded all previous political successes in film, making it marketed more profitably and less political than the westerns created by other filmmakers."
Kabir asks Sarika to reveal his plan to end Ranvir 's game .,"Ranvir won the game, according to Kabir's request to Sarika. Kabur demands her to share Sarisa'Sariva with him if she wants to end the match."
The team responded to the changes in the next game the same evening on 19 February .,"During the game on 19 February night, players greeted the team in the next game, and they acted on the changes."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","Lieutenant John Gedge deployed them to the North Sea in May 1805, and Lieutenant Robert Ramsey succeeded him in 1806."
Emma Townshend is represented by David Godwin at DGA Associates .,David Godwin representing Emma Townshend at DGA Associates.
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","One team hailing from the city is the Nashua Silver Knights, a summer collegiate league team that competes in the summer."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","Pennsylvania Route 288, running from the west end of the bridge, runs south to Parker and north to Emlenton, passing through the city of Emmettville."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .",United Kingdom commonplace.
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Alston graduated from Oxon Hill High School in New Haven, Connecticut, where he was born on December 21, 1965, in Oxen Hill."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","Viet Cong losses amounted to 345 deaths and around 192 fatalities, while the US alone accounted for 28 fatal fatalties."
"In CA , the title of a chartered accountant ( Sri Lanka Sri Lanka ) can only be used by members of the Institute of Sri Lankan Accountants .",Members exclusively belong to Institute of Sri Lankan Accountants. Institute members in CA are allowed to use the title Sri Srilanakischer Chartree ( Sriakhandi) as chartered accountant in Sri Lanka.
"Simyo belongs to the Dutch telecommunications group KPN , after acquisition of the remainder of E-Plus on March 14 .","Dutch telecommunications group KPN is owned by Simyo, which purchased the remaining E-Plus shares on March 14."
"Besides Kuykendall , Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County .","Hampshire County alone entailed Robert White and Joshua Soule Zimmerman as Chancery Commissioners, except for Kuykendall."
"These views were often expressed during the emergence of Protestant , Puritan and Evangelical movements .","Protestant, Puritan and Evangelical movements forming today largely expressed these views and they were common during the emergence of Protestantism, Protestant Purity, and Protestant Reformation."
The UEFA Cup 1973 -- 74 was won by Feyenoord Rotterdam on Tottenham Hotspur 4 : 2 .,Tottenham Hotspur defeated Feyenoord Rotterdam 4: 2 in the UEFA Cup 1973 -- 74 to claim the title.
"Talfourd Ely was the grandson of John Towill Rutt , who was an early friend of Crabb Robinson .","John Towill Rutt played a friendly role with Crabb Robinson in the beginning of his family's baseball team, and his grandson, Talfourd Ely, was related to him as he was one of Tollefield'' earliest friends."
"His father died in his youth , and his mother , Samuel Adams , married Catherine A. Fagan in 1842 , who two years later became the governor of Arkansas .","Catherine A. Fagan married Samuel Adams, Samuel's mother, in 1842, two years after his father' death, and later became the governor of Arkansas."
"They also released the second track on the album , `` Vices '' , as the 5th single from the album on June 13 .","Featuring the fifth single from the album,  Vices '', as the second track, they released the 5th single on June 13 - the same day as their first single, Vicellaby."
The Sydney Water Board had taken over the water supply for Sydney from the City Council in 1888 .,"Sydney Water Board gained control over the water supply for Sydney from the City Council in 1888, after being transferred to the Board."
"Also Cai Feng had a son , Cai Mao .","One son of Cai Feng, known as Caiming, was born Caifeng."
"Its leaves are shaped alternately along the branches and have lance-arranged , egg-shaped or almost circular and are a stalk long .","Spindle-shaped leaves run wild along the branches, are lance-arranged, egg-like, and have a long stalk."
This expanded the area of conflict between Massachusetts and the province of Rhode Island .,Increasing warfare between Massachusetts and the province of Rhode Island widened the area of Massachusetts-Rhode Island conflict.
"Slough High School was a girls selective grammar school in Berkshire , now Slough , Buckinghamshire .","Girls selective grammar school known as Slough High School was founded in 1869 in Berkshire, now Sloough in Buckinghamshire."
"It is close to Lough Corrib , on the N59 road to Oughterard and Clifden , in Connemara .","Adjacent to Lough Corrib, on the N59 route to Oughterard and Clifden, it is located in Connemara."
"While the exclusion of black players was not a written rule , no African-American had played in the National Football League since 1933 .","Black players were always exempt from playing in the National Football League, and it wasn't until 1933 that African-Americans joined the league, which is why."
Muawiyah came to power after the death of Ali and established a dynasty .,Ali passed away soon after Muawiyah took over the reins of power and founded a dynasty.
"In 1994 , Rodrigo Leão left the band to start a solo career , being replaced by Carlos Maria Trindade ( keyboard synthesizer ) .","Rodrigo Leo cut a note in 1994 releasing Discworld Tour's drum kit and forming XIII, and was succeeded by Carlos Maria Trindade, formerly known as Carlos Mara Nieto, who played keyboard synthesizer in the band."
"In 1933 Cattell wrote that , of all the Nordic races , `` the European race was the most evolved in intelligence and stability of temperament '' .","Cattell posthumously recognized a race in the Nordic countries whose intelligence and temperament were ""mostly stable and stable"" and ""evolved"" in Europe in 1933."
"Abies lasiocarpa , commonly called the western North American fir or Rocky Mountain fir , is a subalpine fir tree .","One group forming a subalpine fir tree known as Abies lasiocarpa, also known subhumid or Rocky Mountain bir, is the western North American flora commonly known by the scientific name of the species."
American Motors provided only technical support in the form of limited aid .,"American Motors donated a limited amount of technical assistance, which was exclusively provided by American Motorsports."
"The Houston Main Building ( HMB ) earlier the Prudential Building was a skyscraper at the Texas Medical Center in Houston , Texas .",Houston main building (HMB) - a skyscraper that used to be occupied by the Houston Main Building (Prudential Building) is presently undergoing construction.
"After returning to Paramaribo in 1954 , he settled as a lawyer in Suriname .","Upon returning home to Paramaribo in 1954, he settled in Suriname where a lawyer worked."
"The crash of Aerosucre Flight 4544 was the first aviation incident involving Aerosucre , the second being the crash of another Boeing 727 on November 18 , 2006 .","Aerosucre Flight 4544's crash marked the first time airliners were involved in an aviation incident, while another incident occurred on November 18, 2006, when another Boeing 727 crashed into the air, also on the same day."
"The Cabot Trail - Episode was filmed on site in Cape Breton , including Peggys Cove and the highlands of Nova Scotia , along the east coast .","Cape Breton played a musical role in Episode 4000, which was shot on location in Cape Town, Cape Cod."
Another way to regulate the population of deer is to control the birth rate .,"One strategy aimed at controlling game population control, involving deer, is to regulate the birth rate."
"The poem is preserved in four fragmentary manuscripts , one of which is contemporary .","Four present surviving manuscripts contain fragments of the song, one of which is contemporary."
"Manu Chao , the groups `` Air '' , Cassius , Mars IV , Les Négresses Vertes , and FFF , and Howie B also participated in the album .","Manu Chao played a lead vocal in the album, along with Cassius, Mars IV, Les Névravras Vertes, FFF, and Howie B."
The Hudeasa River is a tributary of the Bradu River in Romania .,"Romania possesses a river tributary to the Bradu River, Romanians include the Hudeasa River."
"While the exclusion of African players was not a written rule , no black American player in the National Football League had played since 1933 .","Black Americans played in the National Football League since 1933, and while African players were not excluded by law, no African player was registered in a written rulebook."
"His father Patrick Byrne was an MP , TD , Senator and Lord Mayor of Dublin . Another brother Alfie Byrne was also a TD .","Patrick Byrne played a dual role as an MP, TD, Senator, Lord Mayor of Dublin, and brother in Dublin politics."
The first series was better received by critics than the second .,Critics paid more rapture towards the premiere series compared to the second series.
Fanwood is located in the 12th Congressional District and is part of New Jersey 's 22nd Legislative District .,"Fanwood falls within New Jersey's 22nd Legislative District, 12th Congressional District and is situated in Fan wood in the 12."
Santa Cruz is situated on the banks of the Santa Cruz River which flows into the eastern part of Laguna de Bay .,Santa Cruz stands on the banks of the Santa Barbara River whose waters flow into the eastern part of Laguna de Bay.
