Sentence,Informal_15
"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","Carlstad United BK playing in Sweden, FK Borac aak playing for FC Borax in Serbia, and Russian FC Terek Grozny playing with him in Russia from 2009 to 2014, with the only exclusion being between him and the team that played in the USA from late 2005 to 2009."
The Tabaci River is a tributary of the River Leurda in Romania .,"Romania boasts the River Leurda's bank account, Romanians say it 'a tributary of the Tabaci'; Romania' s Tabernacle is a member of its family."
He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,He teamed up well known league teams the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs.
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winrsky stays inducted in IEEE, Phi Beta Kappa, the ACM, and Sigma Xi."
In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,"The first African to hold a position in government anthropology in 1938, he was appointed in 1937 and led fieldwork in collaboration with the Nuba."
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Black Adam released  Black Lion '' in 2008, featuring Billy Billy Batson in its first four issues, from the late 2008 to early 2009."
The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,Solar panel installation in a traditional aircraft using solar energy is the solution to this problem.
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .",Singer Rimi Tomy and actor Kavya Madhavan - all close friends of Siddique and his wife Dileep – were questioned by police as part of the investigation.
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","The music is overlaid with scant live orchestral music and is made up of hazy, goalless sounds that are distorted and intentionally obstructive."
Holly was musically influenced by Elton John .,"Holly drew musical symphonys from Elton John's hit song ""Eat Me To My Heart""."
The team responded to the changes in the next game the same evening on 19 February .,"The team acted immediately on the alteration nebulizers in the succeeding match on 19 February evening, and they reacted in response in advance for the game being played on 18 February."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .",City collocutor Nashua is the team whose name is Na Shua Silver Knights and who plays in a summer league that is currently active.
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","The  Belliferior '' was the final form of the song in West Germany in 1949, while it was used again in East Germany 1966."
The canal is one of the oldest navigable canals in Europe and in Belgium .,"One of Europe's all-time longest navigable canals, the canal stretches across Belgium."
In 2009 he moved back to Philadelphia and lives in New York City today .,He made the move all the way to Philadelphia in 2009 and now resides in New York City.
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","Ent stomach cancer proved fatal for him on 30 June 1954 in Claremore, Oklahoma - New York City – the only city in the country to have such a Lynn Riggs Memorial."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Born Stefanitsits was originally from Korneuburg, Germany, but raised in Stammersdorf he lives in Vienna."
